config,n,w,b,white_piece,black_piece,positions,quiet_positions,always_win_stm,always_win_white,quiet_always_win_stm,quiet_always_win_white,deepest_white,deepest_black,deepest_white_quiet,deepest_black_quiet,wtm_win,wtm_draw,wtm_loss,btm_win,btm_draw,btm_loss,wtm_win_pct,wtm_draw_pct,wtm_loss_pct,btm_win_pct,btm_draw_pct,btm_loss_pct,q_wtm_win,q_wtm_draw,q_wtm_loss,q_btm_win,q_btm_draw,q_btm_loss,q_wtm_win_pct,q_wtm_draw_pct,q_wtm_loss_pct,q_btm_win_pct,q_btm_draw_pct,q_btm_loss_pct,deepest_white_pos,deepest_white_quiet_pos
BBBvKK,6,3,2,bishop,king,3769920,552924,0,0,0,0,25,0,25,0,1548028,2221892,0,42128,3727792,0,41.062622,58.937378,0.000000,1.117477,98.882523,0.000000,13584,539340,0,36,552888,0,2.456757,97.543243,0.000000,0.006511,99.993489,0.000000,"wBe1,wBa3,wBa4,bKb6,bKf6","wBe1,wBa3,wBa4,bKb6,bKf6"
BBBvKK,7,3,2,bishop,king,19068840,4020622,0,0,0,0,31,0,31,0,7764262,11304578,0,290510,18778330,0,40.717013,59.282987,0.000000,1.523480,98.476520,0.000000,101436,3919186,0,1676,4018946,0,2.522893,97.477107,0.000000,0.041685,99.958315,0.000000,"wBa1,wBd1,wBc2,bKg3,bKa7","wBa1,wBd1,wBc2,bKg3,bKa7"
BBBvKK,8,3,2,bishop,king,76245120,20611388,0,0,0,0,35,0,35,0,30328208,45916912,0,1400844,74844276,0,39.777245,60.222755,0.000000,1.837290,98.162710,0.000000,534444,20076944,0,9164,20602224,0,2.592955,97.407045,0.000000,0.044461,99.955539,0.000000,"wBf1,wBa2,wBa3,bKh1,bKh8","wBf1,wBa2,wBa3,bKh1,bKh8"
BBBvKK,9,3,2,bishop,king,256215960,82986686,0,0,0,0,69,0,69,0,98954514,157261446,0,5297294,250918666,0,38.621526,61.378474,0.000000,2.067511,97.932489,0.000000,2494868,80491818,0,75220,82911466,0,3.006347,96.993653,0.000000,0.090641,99.909359,0.000000,"wBd1,wBe1,wBa2,bKa1,bKi6","wBe1,wBb3,wBc4,bKa1,bKi6"
BBBvKK,10,3,2,bishop,king,752875200,na,0,0,na,na,67,0,65,na,280453700,472421500,0,16371796,736503404,0,37.251021,62.748979,0.000000,2.174570,97.825430,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBb2,wBg2,wBe4,bKa2,bKi10","wBg1,wBh1,wBe2,bKc1,bKj10"
BBBvKK,11,3,2,bishop,king,1987925940,na,0,0,na,na,71,0,71,na,711816144,1276109796,0,43595008,1944330932,0,35.806975,64.193025,0.000000,2.192990,97.807010,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBe1,wBc2,wBe4,bKi1,bKa11","wBe1,wBc2,wBe4,bKi1,bKa11"
BBBvKK,12,3,2,bishop,king,4810085280,na,0,0,na,na,73,0,73,na,1654238232,3155847048,0,103958292,4706126988,0,34.391037,65.608963,0.000000,2.161257,97.838743,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBk1,wBb2,wBi2,bKl1,bKf10","wBb2,wBi2,wBc3,bKh4,bKa12"
BBBvN,3,3,1,bishop,knight,504,36,0,0,0,0,11,0,5,0,500,4,0,432,72,0,99.206349,0.793651,0.000000,85.714286,14.285714,0.000000,32,4,0,32,4,0,88.888889,11.111111,0.000000,88.888889,11.111111,0.000000,"wBa1,wBc1,wBb2,bNb3","wBb1,wBc1,wBa3,bNa1"
BBBvN,4,3,1,bishop,knight,7280,1232,0,0,0,1,7,0,7,0,7280,0,0,7272,8,0,100.000000,0.000000,0.000000,99.890110,0.109890,0.000000,1232,0,0,1232,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,"wBa1,wBc1,wBb2,bNb3","wBa1,wBd1,wBa4,bNc1"
BBBvN,5,3,1,bishop,knight,50600,13336,0,0,0,1,7,0,7,0,50600,0,0,50576,24,0,100.000000,0.000000,0.000000,99.952569,0.047431,0.000000,13336,0,0,13336,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,"wBa1,wBc1,wBe1,bNb3","wBa1,wBb1,wBb2,bNd5"
BBBvN,6,3,1,bishop,knight,235620,80984,0,0,0,1,9,0,9,0,235620,0,0,235596,24,0,100.000000,0.000000,0.000000,99.989814,0.010186,0.000000,80984,0,0,80984,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,"wBc1,wBd1,wBa2,bNb5","wBc1,wBd1,wBa2,bNb5"
BBBvN,7,3,1,bishop,knight,847504,349988,0,0,0,1,15,0,11,0,847504,0,0,785500,62004,0,100.000000,0.000000,0.000000,92.683928,7.316072,0.000000,349988,0,0,349988,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,"wBd2,wBg3,wBc5,bNe4","wBc1,wBd1,wBe1,bNc4"
BBBvN,8,3,1,bishop,knight,2541504,1200208,0,0,0,1,19,0,13,0,2541504,0,0,2365288,176216,0,100.000000,0.000000,0.000000,93.066468,6.933532,0.000000,1200208,0,0,1200208,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,"wBe2,wBa4,wBe4,bNc3","wBb1,wBc1,wBd1,bNb5"
BBBvN,9,3,1,bishop,knight,6654960,3478840,0,0,0,0,27,0,15,0,6654856,104,0,6037900,617060,0,99.998437,0.001563,0.000000,90.727818,9.272182,0.000000,3478840,0,0,3478736,104,0,100.000000,0.000000,0.000000,99.997010,0.002990,0.000000,"wBd4,wBh4,wBd6,bNf5","wBb1,wBc1,wBd1,bNb5"
